username,tweet
angelfiremom,"BTW James, wish your lovely wife a Happy Birthday from another Aries. I believe hers is the 18th. Mine is the 17th."
robertsherman58,@VancityReynolds hey Ryan it’s my 18th birthday could you make it extra special and have my favorite actor (you) just tweet me a happy birthday!! It would mean the world to me. Don’t really ever go on Twitter but I hope you see this!!
ema_devinexx,"@laurenscotttxx Happy 18th birthday babes, hope you have a great day xxxx"
jhhhyyyyyy_,Happy 18th Birthday!! #KenSanJoseTurns18
nickson_gimena,Happy 18th birthday @kensanjose_ 
Jay_mie26,Happy 18th Birthday Jalen 
abby_wittwer,happy birthday bella! i’m sorry you have to spend your 18th in quarantine:( but i love u soso much and can’t wait to see you @bellajxhnson
imsalmansam,Wishing comrade @ReallySwara a really happy 18th Birthday 
julia_dybowskax,Happy 18th birthday beautiful! hope it’s a good one love and miss yaaa @laurenscotttxx
tallulahmcnab,"@sophieinnes0 happy 18th birthday princess, get out and celebrate as soon as this is over "
TaeGiWifeeuu,Happy friggin birthday to me. Thank you @BTS_twt for already giving me the best 18th birthday 
tquidley,"Happy 18th birthday to my favorite son! I am so proud of you! You’re kind, intelligent, genuine and have a big heart. I love you! @Johns Creek, Georgia https://www.instagram.com/p/B-xQ5XfhEkT/?igshid=1ry0035qx80bq"
Alexus_Alex_US,Told My Lil Sister To Choose From A Round Trip Flight Anywhere Or A Pair Of Shoes......This Girl Chose Some Shoes. Man Happy 18th Birthday To My Baby Man. I’m Sad Asf She Really Grown.
paulajj09,Happy 18th birthday Nancy. Certainly one you will remember!!! 
theyung_,Happy 18th Birthday @kensanjose_ !!! #KenSanJoseTurns18
ShaunPope14,Happy 18th birthday mate. From all of us Evertonians down in the South West!! Have a great day Cheers!!
TroySarmiento3,Happy 18th birthday!! 
amaliacarr20,In the middle of the pandemic I almost forgot its my cats 18th birthday! Happy Birthday Bailey and Bijou! #CatsOfTwitter
swaares,Happy 18th Birthday Baby 
RicksPlaceLanc,#TBT - Two years ago we celebrated Paige's sweet 16th birthday at Rick's Place young adult nightclub. Happy 18th Paige! 
BappyRayhan8,"Happy_Sparkling_18th_Birthday (07th_April) To The One Of My Most Favourite Exceptional &amp; Extraordinary Super Cute, Pretty, Beautiful, Adorable, Sweet, Smiley &amp; Lovely American Teenage Dancer, Singer &amp; Model @GracieHaschak7.....#Gracie_Haschak !!!!!!!!!!!"
aintno_saint,"Happy 18th Birthday Lot!! Gift ko na saimo si anek, HAHAAH char more birthdays to come and stay safe delle!! @edelleangel_"
calistallaigo,HAPPY 18TH BIRTHDAY QUEEN!!!! @jadamerells
imkensanjose7,Happy 18th birthday to my lovely little brobro @kensanjose_ #KenSanJoseTurns18
fraanzieee,I fucking love you so much!!! please be my bf I cry!!!!! Happy 18th babe I love you!!! @kensanjose_ #KenSanJoseTurns18
imacfb01,Happy 18th Birthday ngipin!!!! @kristinejhoyy13 Iloveyouuuu mwamwaa!! di ko makita yung vid na pinagtripan kita e HAHAHAHA sorry sa pagtago ng cp mo palagi!!!
ilovemargauxx,Happy 18th birthday @sophiasrmnto! Godbless and ingat lagiii mishuu! 
MissAbines,Happy 18th Birthday delle! @edelleangel_ 
LoveComdrLexa,"Happy 18th birthday beautiful, you’re the best "
fraanzieee,I fucking love you so much!!! please be my bf I cry!!!!! Happy 18th babe I love you!!! @kensanjose_
Klassic54,Happy 18th Birthday to Jack Depp
fraanzieee,"Happiest birthday to my kenny!! Babe u deserve the best, I mean best, I mean me HAHHAA I LOVE U !!!! HAPPY 18TH !!! PLS GO ENJOY IT DESPITE QUARANTINE&lt;3 I LUV UU!!!! "
Oreokicks,Happy 18th birthday champ x
melaninboi,@lilithsangeI HAPPY BIRTHDAY 
TeamKenSanJose_,happy 18th birthday ken from team! @kensanjose_ @cornerstone_ofc #KenSanJoseTurns18 #kensanjose #teamkensanjose #cornerstoneartists #performer #dancer #artists #talent
kyladellosa,I just want to greet Kenneth San Jose a Happy 18th Birthday!!! I hope you have a great day and Always take care. Keep inspiring people and Always remember Your Fans are always here to support you no matter what God Bless and LYSM @kensanjose_ #KenSanJoseTurns18
_agathacrst,"happy 18th birthday nanay @pastryycia!! wish u all the best, take care luv u mwaaa "
lesliemagdame,Happy 18th Birthday Ate @mikaplanillo !! Love lots 
MLBSplits,Luis Arraez (@Arraez_21) K%? An astonishing 7.9%. Top 1% in the league. That with a BABIP of .355 (18th in the league) shows how much of a pure hitter this guy is. Happy Birthday Luis Arraez!
maybshi,Happy 18th birthday!! @erinmndoza
lexboogie2000,Happy 18th Birthday @AyannaParker14 
annepanestan_,"@kristinejhoyy13 HAPPY BIRTHDAY HERRERA!!! MISS KO NA PAGIGING MAKULIT MO WHAHAHAHAHAHAHA ENJOY DEBUT KAHIT ECQ, BAWI PAGTAPOS!! WUV YA, INGAT LAGIIII!! HAPPY 18TH!!!!!! "
Brentweet_,Happy 18th Birthday @edelleangel_ !!! Wish you all the best!! May you enjoy the rest of your day kahit quarantine! Keep safe and know that I'm always here for you! God bless and I love youuu!!! 
HCasino07,Happy 18th Birthday!! Kaibigan kong youtuber. Pwede ka na makulong . @Kyleconde_10
amandagabr1elle,Happy 18th Birthday to my beautiful little sister Lauren! My best friend forever! #HappyBirthdayLauren
bananadya_,"happy 18th birthday! I’m always here for you, i love youuu wiiee "
yourPHOTOSTYLE,My favorite album Happy 18th Birthday GF!
shopbecknhale,"It's official you're now an adult. Happy 18th Birthday I love you to the moon and back! #18thbirthday #shesanadultnow #mydaughterismyworld #maddiehale #shegrewuptoofast #coronavirusbirthdaybummer @Los Angeles,… https://www.instagram.com/p/B-xJBnQFCzC/?igshid=1ndi4o14wp9ep"
ItsmeMaye03,Happy 18th Birthday kat! wish you all da best May God bless you on the path you’ll take. Have a great day! Iloveyouu. @___kathz
_biancyyyyu,Happy 18th birthday bebbb!! Iloveyouuu @edelleangel_
chardo1234567,"Birthday pag bigyan JAHAHAHA happy 18th Birthday tineeeeee,sana habang buhay na ang 6k squad "
AnigaErica,HAPPY 18TH BIRTHDAY SISTEERR!! Naa nagyuy legal natoooo HAHAHA thank you sa mga chikass and laags nya thank you pa tambayon rami nimo sa inyoo naa rami always sisterr @hsophiamier
lizasoberaneeds,Happy 18th Birthday @ratedlq !! It's a hundred percent true that meeting new friend(s) is one of the best things about fangirling. I am forevermore thankful and grateful for the friendship we've made and hopefully this attached photo isn't the last +++
ruales_layla,Happy 18th birthday kennyyyyyy!!!!! I love youuuu God bless you alwayssss @kensanjose_ #KenSanJoseTurns18 @tb
TKSJDgte,"HAPPY 18TH BIRTHDAY KENNETH! ALWAYS STAY HUMBLE, AND ALWAAYS REMEMBER THAT WE LOVE YOU SO MUCH AND WE MISS YOU. THANK YOU FOR BEING AN INSPIRATION, KEN! from all of us Team Ken San Jose Dumaguete Chapter (pic is incomplete) #KenSanJoseTurns18"
MyGrindelwald,Happy 18th birthday Jack Depp! 
