username,tweet
fd_mardoqueu,"A Happy 25th Birthday to @cjbottnz and Hae a Wonderful Day! (April 22nd, 1995) #FIFAWWC #WomeninFootball "
Chelberry18,"Advance happy 25th birthday, Stellvester Ajero! Godbless! @SB19Official #SB19 #SB19BBSocialTop5 #SB19MENPA_Stell"
hunyotang,ヒドくんHappy Birthday すてきな25歳を！ 생일 축하해요 #HeedoDay_25th
xxriz_,Stell Birthday ng ate ko this 25th kahit isang Happy birthday naman dyan para sa kaniya please #SB19 | #SB19_MENPA_Stell #SB19BBS50SocialTop5
alyssajacksonxx,Cjs really tryna kiss my mums ass today when he sends her a “happy 25th birthday Stacey” LMAOO 
ahmadzyounis,"Happy Birthday Bro, you always took care of our birthdays. Now it’s time for us to celebrate with you. See you 25th may at 4pm"
derekhope0,"@AdamBerwick7 Happy 25th birthday big man enjoy your day the best you can dude, lots of love "
WHITthemoney,I didn’t even make it to 12 that dark Ciroc ain’t no hoe ! Happy 25th birthday to me 
saviorbangchan,Happy birthday #HappyHeedoDay #BIG_희도_생일축하해 #HeedoDay_25th #ヒド #희도 #Heedo #big #비아이지 #boysingroove #희도 #HAPPYBIRTHDAY
HughZ,Happy 25th birthday
Tee_Tee__,Someone just said “happy 25th birthday” 
t2tyh,"Happy 25th Birthday my boy. @Ashley16Martin .... Love you &amp; Very proud of everything you’ve achieved, here and abroad "
LisaDizzyBlonde,"A very Happy 25th Birthday Moondance Bruno Greenaway and all the crew, family. From raving way back at my first Moondance in 95. Now playing at every Moondance event for almost 6years. What wonderful crazy memories… https://www.instagram.com/p/B_R12QLl-uz/?igshid=10ynvojer5ix4"
y2npnt,ひどたん。今日ね、仕事中もひどたんへの愛溢れるBDツイートをいいね。ポチポチしまくったら、はい！いいね規制突入。でもひどたん、なんか私、やりきった感ハンパない。ひどたんのBDにいいね規制。。光栄ですわ。Happy Birthday ひど。。 #HeedoDay_25th 
ThoziMusic,My ntwana is khuling vandag. This is us Dec 25th 2011 .@TshidisoJele happy birthday boi 
DianaAitch,"Ohhhh Happy Belated Birthday It’s not so bad having lockdown birthday for adults feel sorry for the kids, no party, no friends..My granddaughter is 4 25th May, hope I can see her!"
samanthawestley,Happy 25th birthday to me. I’m getting old 
noriko_hooo,ヒド Happy birthday Geggを通してヒドと出会えて幸せです 희도 생일 축하해용~~ 멋진 목소리 너무 좋아용 #희도 #Heedo #HeedoDay_25th 
GillianHazel,"Happy 25th birthday @imamberzoe our gorgeous, inspirational girl looking forward to celebrating after lockdown xxx"
BrhiannonRiddle,@machinegunkelly happy big 30th birthday! My 25th was on Saturday your almost exactly 5 years older than me. I just hope I can hug you one day. Have a beautiful day
LisaVanAllen3,HAPPY 25TH BIRTHDAY TO MY OLDEST DAUGHTER MALERIE MEADOWS LOVE MOMMY ((((HUGS)))) https://www.instagram.com/p/B_RjWoIJAAA/?igshid=qsvwtxbnb2vo
cgraham_44,Happy 25th birthday 
massgod_ntr_fc,Advance Happy Birthday Torch Bearer @tarak9999 #28DaysToNTRsBday #JrNTR #KomaramBheemNTR #RRRMovie #JaiNTR Birthday Month Trend On 30th April Common DP on 25th April 5 : 04pm 
HCochraneArtist,Today is our daughter's 25th birthday and the first one in 25 years we haven't held her. But that's only because we love her. Happy birthday Amy x 
50TysonOfficial,"Happy 25th Birthday To @mhernandezmago @Minneapolis, Minnesota https://www.instagram.com/p/B_Rf4n1BzdJ/?igshid=1rsbnyda8vuqa"
50TysonOfficial,Happy 25th Birthday To @MHernandezMago
SarahNew29,"Happy 25th birthday to my gorgeous girl @marianew22 - rather strange circumstances I know, going to miss giving you a big big hug and kiss but catch up on zoom later have an amazing day my darling miss you loads… https://www.instagram.com/p/B_Rb7hrHBQj/?igshid=108ekj5wn09m3"
hazimazmann,Happy Birthday !! Looking forward to celebrate your 25th birthday together 
izzatiabdull,#latergram #aprilbabe Happy 25th birthday husband @ashran03.. . . Thanks for being with me all these years and still not killing me while I am sleeping. I may be a bit annoying but I know you are anoyying much… https://www.instagram.com/p/B_RZd7rJjzR/?igshid=lqmiasfijw0z
Criontee_,Thank God for letting me live to see another birthday . Happy 25th to me 
BoundNA,"Happy Birthday to none other than our COO @LilYeshTV, happy 25th birthday! Cheers to another year around the sun from all of us here at Bound!! #BoundForGreatness"
Daqueen57,"Happy Birthday 25th son love to infinity @Bristol, Connecticut https://www.instagram.com/p/B_RT1eZn1_bX4LmzC9GDnUzCKjo3MRMlh-F7KY0/?igshid=iff3fz3g70rj"
hansa_115,Happy Birthday #HeedoDay_25th
HIRO86850791,HAPPY BIRTHDAY heedo ヒドにとって 素敵な１年になる事と 幸せな１年になります様に I don't care (￣ー￣)ｂｸﾞｯ! 大好き #HeedoDay_25th https://www.instagram.com/p/B_RC3fyJy0r/?igshid=uj1zldobbjew
Jaehwa_hoe,My son since day one. I swear you and Seyoon are so similar there was to be a relation somewhere Happy Birthday baby boy I love youuuu #HeedoDay_25th 
y2npnt,はい。今日は仕事しません。できません。以上。。。Happy Birthday ひどたん。 #HeedoDay_25th 
ucZMgwTxr2PfBHf,祝ってくれてありがとうと ヒドがお礼を言ってますね お礼を言いたいのは 私達です コロナで沈んだ気分を 幸せな気分にしてくれるからです 정말!고마워 HAPPY BIRTHDAY heedo #HeedoDay_25th 
carrenginapoh,Happy 25th anniversary of your 25th birthday! Ganyan ba dapat ate lols Happy50th Queen Regine #GoldenSongbird
wallflower_415,"Happy 25th birthday to my dearest sister, the Scooby to my Shaggy, the pea to my pod, the Peter Pan peanut butter to my Strawberry jam. I love you Jesse. You are so much more than you know and I cannot wait to see what this year brings you. @koalatygirl"
emi89832460,ﾟ。*♡Happy Birthday♡*。ﾟ heedoたんの低音ラップが…… 大好きだょ~ #HeedoDay_25th 
STSporthorses,"Happy 25th birthday to the grumpiest grumpasaurus that has ever walked this earth. Your nose may wrinkle and your ears may pin, but your heart is full of love and we all know it. https://www.instagram.com/p/B_RLe1sH83M/?igshid=1vs4fizpob3xn"
Ashleighoddett,Recent antics #quarantinebirthday Happy 25th Birthday to me @hangallagher
NTRFans_EG,Advance Happy Birthday Torch Bearer @tarak9999 #28DaysToNTRsBday #JrNTR #KomaramBheemNTR #RRRMovie Birthday Month Trend On 30th April Be ready to set the NEW RECORD Common DP on 25th April 5 : 04pm 
ChennaiNTRFans,Advance Happy Birthday Torch Bearer @tarak9999 #28DaysToNTRsBday #JrNTR #KomaramBheemNTR #RRRMovie Birthday Month Trend On 30th April Common DP on 25th April 5:04pm 
GodOfMass_NTR,Advance Happy Birthday Torch Bearer @tarak9999 #28DaysToNTRsBday #JrNTR #KomaramBheemNTR #RRRMovie Birthday Month Trend On 30th April Common DP on 25th April 5 : 04pm pic.twitter.com/nM3VejaxSo
K0926Reona,happy 25th birthday tommy i love u sooooo much 
fastbud88,@NoahGragson Could I get you to do something for my son who turns 4 on the 25th. Liam is a huge fan of yours!!! Could retweeted this and maybe send him a quick Happy Birthday from his favorite driver a quick hello video would make his day!!! Thank you 
Juju2Cold,Can’t let the day end without saying Happy 25th birthday to @_kaitbythepound Hope it’s the best and love ya 
y2npnt,ひどくん。ユナクPDの言葉。。しっかり聞いて、、ユナクPDについていきたいね。NIKになるために、、簡単なことじゃないね。Happy Birthday Heedo.. #HeedoDay_25th 
AfricanDollXoxo,Happy 25th birthday to me 
WriteThingsPr25,I'm just happy seeing someone not say my sexuality is straight! Lol. I trust you to get it right anyway but something about people assuming 'straight' even with a lot of 'this actor is hot' Tweets REALLY bugs me.
AusJwalkerz,"[EVENT] Jay Park’s #박재범 Birthday Hashtag Event While wishing Jay Park a Happy Birthday, use the hashtag #.ItsJayParkDay Event starts 25th April at 12AM KST (1AM AEST) *Please do not use the hashtag before than "
jeskem,Happy birthday Ademola. 
LIHuskies,Happy 25th birthday Glatter! @JGlatts1
DonOh23,"This is what happens when I ask my little sister what she wants for a birthday dinner. She says I like Asian, Mexican and BBQ....okay then, lets just put that all together for a asian bbq, taco station. Happy 25th my… https://www.instagram.com/p/B_Q8RTjgtpN/?igshid=hcujaork8cpt"
ariadne_pb,Hello Sav 25th is my best friend's birthday Could you wish her a happy birthday? She love you so much Her name is isabela
rhiannejoy2,"mali pa pala ako ? akala ko 25th , 18th pa lang pala hahaha , HAPPY BIRTHDAY ateeeeee Happy50th Queen Regine #GoldenSongbird"
Ahmad__amg,"Happy 25th birthday, buddy! You're my friend and my brother. You' ve given me only the good memories. Please come and get married Ka fara tsufa. I'm blessed, I got you ! "
onlysangyeon,#HappyHeedoDay #HappybirthdayHeedo #HeedoDay_25th #BIG_희도_생일축하해 #BIG_회도_생일축하해요 HAPPY BIRTHDAY HEEDO !!!! 
nonbiribiri__,ヒドくん Happy Birthday かっこいいのにかわいいヒドくん！ NIKでデビューしてほしい！！ 素敵な一年になりますように 笑顔いっぱいの一年になりますように #HeedoDay_25th 
momof2sassholes,Will you tell my daughter happy birthday? It’s the 25th! #JeffreeStarApproved $melaniemw81
ClassicMovieHub,Happy 96th Birthday MGM! Claude Jarman Jr shares his memories about posing for the famous 25th Anniversary MGM Class Photo from 1949. Just love this photo :) #MGM
LTILIL89,Happy Birthday Heedo Take care of yourself France loves you #HappyHeedoDay_25th #HappyHeedoDay
luxjayy,meanwhile my grandma told me happy birthday yesterday 
mingisrat,happy birthday babie &lt;33 hope you have an amazing birthday stay happy and safe ilysm @BIG_GHofficial #HappyHeedoDay #BIG_희도_생일축하해 #HeedoDay_25th 
jjk_kjn,@BIG_GHofficial happy birthday to heedo our talented rapper and dancer I miss you and love you so much have a great day love you deserve the best! #HappyHeedoDay #BIG_희도_생일축하해 #HeedoDay_25th 
dofiasdoughnut,@thomasadoherty is a werido and is a gift to this world and we're grateful to have you. Hope you have the best birthday ever. Happy 25th birthday legend.
jeskem,"Hey Pete, happy happy happy birthday to you! Wishing you all the best in life. Enjoy!!! "
fallformingi,happy birthday to onf hyojin and b.i.g heedo!! i hope you guys enjoy your birthday and stay happy and healthy!! i love you and take care!! &lt;3 #목소리천재_김효진_생일축하해 #HAPPYHYOJINDAY #HappyHeedoDay #BIG_희도_생일축하해 #HeedoDay_25th @BIG_GHofficial
snarkybcgirl,"My birthday was March 25th, days after this shit got real! Husband made sure it was great, but I think we all deserve a giant birthday party when this is all over Happy birthday to you!!"
itsvanessawan,Happy 25th birthday to meeeee #quarantinebirthday2020 #birthday #25thbirthday 
yayaxoxox,My birthday is this sat &amp; jas is stressing on what to get me... Literally i said I want a really really pretty glittery happy birthday card that says something really sweet inside &amp; for you to write a long sentimental paragraph. .that what I want for my 25th birthday.
Publius_1778,Adding June 25th to my calendar so I can wish Mr. House a happy birthday but also shit talk that newborn bb for becoming a CEO
purple_bird_lgm,Happy birthday #HappyHeedoDay #BIG_희도_생일축하해 #HeedoDay_25th #ヒド #희도 #Heedo #big #비아이지 #boysingroove
yohanpuns,"Hi oomfs, this is Yoo Heedo of B.I.G and today's his 25th birthday! Our fandom isn't very big and it would mean a lot to us and him if you wished him a happy birthday using our hashtags #HeedoDay_25th #HappyBirthdayHeedo"
airirin9,ヒドのかっこ可愛いウィンクとラップ。 このMVの見所の一つです。 ねこチームでりゅんりゅんと仲良くしてくれてありがとう。 みんなでデビュー！夢掴もう！！ HAPPY BIRTHDAY!!! #HeedoDay_25th 
luvwonshik,"Wishing a happy birthday to the best boy, Lee Heedo ! Hope you had a good day love #HeedoDay_25th #희도 #유희도 #비아이지 #ヒド #heedo #HappyHeedoDay #희도야_생일_축하해 @BIG_GHofficial"
Skillam_,Happy Birthday to my goat @alphaLyphae_ 
MadelineDHelle1,"Happy, healthy 25th Birthday !"
BaddieZ_,Happy 25th Birthday To My Fine Ass 
C_Vigilante,Everyone stop what your doing & look at this dope Velma cosplay . Happy 25th Birthday love hope you live it all tha way up despite all this rona nonsense ! https://twitter.com/tushimi_/status/1252533913991417859
RageNineteen,Happy 25th birthday to Father Ted x 
BboyJulian22,"I would normally never be so bold to ask this, but given the circumstance... Could you please maybe record a happy 25th birthday message for me as Pinky and The Brain? If not I completely understand. I know it’s lot to ask, I’m just such a huge fan @yakkopinky @MAURICELAMARCHE"
AyaMshalabi,Happy 25th Birthday to Me 
lauradr73020940,Happy 25th Birthday in quarantine to me! #RIPToMyYouth 
