username,tweet
Donnafortes2,Happiest birthday Queen Angel @143redangel I really adore you so much God will bless your genuine heart let's claim for it .I have so many wishes for you but I just wanted you to be healthy as always I love you Happy 35th birthday #realhero#realdarna #HappyAngelLocsinDay
Maxene51653535,HAPPY BIRTHDAY #Darna!!..GOD BLESS YOU MORE THANK YOU FOR INSPIRING OTHER PEOPLE..LOVE YOU #DARNA!..I'm always be your FAN!! happy 35th @143redangel @143redangel @143redangel @143redangel #HAPPYBIRTHDAYDARNA #HappyBirthdayDarna #Darna #AngelLocsin #HappyBirthdayAngelLocsin
shunjou_24,Happy 35th Birthday lodi @143redangel #AngelLocsin
dakkie_sibayan,Happy 35th Birthday Angel Locsin @143redangel
edraline05,Happy 35th birthday Ms. Angel . Hoping you have an amazing day everyday and continue inspiring everyone. Have a nice day.Godbless and more power po. Weloveyouuuu 
kpmlyaoutsidr,"Happy 35th Birthday, Ms. #AngelLocsin! @143redangel #MaligayangKaarawanDarna"
Josh_ALS,Naka assign na talaga ang Darna sa isang Angel Locsin. Hindi pwedeng paghiwalayin ang Darna at Angel Locsin dahil yan ang perfect combination ng character ni @143redangel. Ikaw lang talaga yan. Wala ng Iba. Happy 35th Birthday sa Queen namin. We love you 
jhajacool_16,"Happy 35th Birthday to my ultimate super idol, ang nag-iisang THE LEGAL PRIMETIME ACTION DRAMA QUEEN - @143redangel! I miss you so much, love you GEL! :-)"
ksouniverse,"Happy 35th Birthday, our REAL LIFE Darna, Ms. Angel Locsin @143redangel !"
albasheerabdil1,Happy 35th Birthday @143redangel 
mnralphie,Happy 35th Birthday to Kristin Fairlie! The voice of Little Bear on Little Bear (1995) and in The Little Bear Movie and Bridgette on Total Drama Island. #KristinFairlie
illinilegends,"• Happy 35th Birthday on Thursday to @IlliniMBB alum Warren Carter. Today, he works for RiseUp in Salt Lake City."
darnaisangel,"Happy 35th Birthday to our Darna, @143redangel! Here are 35 reasons as to why she is our Queen, Icon and Superhero!"
reelJ8FIVE,"Happy 35th Birthday to my cousin LG( Little Gene), who’s no longer with us. He’s been an angel in the skies watching over me and all my relatives since 2002. Miss you so much cuzzin, love thank you 4 keepin us grounded and humble regardless of everything that’s happened. "
pyhnkz,"Happy 35th Birthday my 𝓠𝓾𝓮𝓮𝓷 @143redangel my one and only 𝗗𝗔𝗥𝗡𝗔! take care always and God bless you more and more! 𝕀 𝕃𝕆𝕍𝔼 𝕐𝕆𝕌 𝓠𝓾𝓮𝓮𝓷! @Municipal Accountant’s Office, Dao Capiz https://www.instagram.com/p/B_TaG4UgQ2M/?igshid=n4tnbx0kr3f"
pyhnkz,"Happy 35th Birthday my 𝓠𝓾𝓮𝓮𝓷 @143redangel my one and only 𝗗𝗔𝗥𝗡𝗔! take care always and God bless you more and more! 𝕀 𝕃𝕆𝕍𝔼 𝕐𝕆𝕌 𝓠𝓾𝓮𝓮𝓷! @Municipal Accountant’s Office, Dao Capiz https://www.instagram.com/p/B_TaDv0g3Fq/?igshid=wdkhyx9ikrdp"
pyhnkz,"Happy 35th Birthday my 𝓠𝓾𝓮𝓮𝓷 @143redangel my one and only 𝗗𝗔𝗥𝗡𝗔! take care always and God bless you more and more! 𝕀 𝕃𝕆𝕍𝔼 𝕐𝕆𝕌 𝓠𝓾𝓮𝓮𝓷! @Municipal Accountant’s Office, Dao Capiz https://www.instagram.com/p/B_TZ_zNAZDV/?igshid=hnnp6fnqmway"
kowalerts,Happy 35th Birthday Angel Locsin 
uyamamveleli,Happy 35th birthday to me off cause 
emzyrgy,Happy 35th birthday 
AuzDickinson,"@blakeshelton @gwenstefani today is my wifes 35th birthday, were trying to make the best of it, but if yall get a second, if you could sat Happy Birthday to Cassandra that would be beyond amazing. Have a great one yall #TeamBlake"
Gizzle_Maanee,"Happy 35th birthday to my big brother!! The goat period, thank you for always having my back. I’m gon make you proud big fella "
UNCAirCare,Wishing @UWMedFlight a very happy 35th birthday! Thank you for the service to your communities and to the industry! 
marramark,Happy 35th birthday to #Prince’s #AroundTheWorldInADay. Still got my CD longbox from when I was in 10th grade. Damn ‘85 was a good time to be a teen! #Prince4Ever
illinilegends,"Happy 35th Birthday on Thursday to @IlliniMBB alum Warren Carter. Today, he works for RiseUp in Salt Lake City."
MZnid11,"Happy 35th Birthday to my best friend, the best Dad, the living Pete of all Hot Pete Pics (HPPs) and amazing human being. You are and always have been the best person to be in this crazy life with and I wouldn’t have… https://www.instagram.com/p/B_SxfrCDHAT/?igshid=sx6x9cx8koww"
MikeIzzoJr,Happy 35th birthday to my brother @Thee_JohnMerola I am so grateful to have a true friend like you in my life. Hope your birthday is amazing as you are my amazing friend. I can’t tell you how proud I am of all you… https://www.instagram.com/p/B_SjyO6hI2c/?igshid=19z8cy9v334g7
AndatSwany,Happy Birthday @143redangel Stay safe and Healthy Labyu #AngelLocsin #35th #Darna
UWMedFlight,"Happy 35th Birthday to UW Med Flight! From humble beginnings of the “Bus”, in 1985 we started with the original Aerospatial Dauphine to the EC-135 and -145 today @UWHealth @UWEmerMed @MadtownEM @MetroAviation @verticalmag @AirMedToday @airmedandrescue @UWMadison @AirbusHeli"
JEhlkeWBCTV,"Happy 35th birthday to my lovely bride, @MJordan933 She is our mom, wife and overall You’re boldness in life has lead us to so many adventures, like this ball pit. I can’t wait for the next 35 years. I know you’ll make it unforgettable."
OrangutanSSP,We're headed to the Kansas City Zoo for our Earth Day birthday girl! Bornean female TK is celebrating her 35th birthday today and we sure hope it's a day to remember! Happy Birhtday TK! 
alec_behan,Happy 35th Birthday to Kristin Fairlie! The voice of Little Bear. 
tapology,@jessicapryor happy 35th birthday! via @tapology
tapology,@parker_porter happy 35th birthday! via @tapology
reggibabi,SCREAMING HAPPY 35th BIRTHDAY TO MY LIL SIS c2pure_elation_ !!! Shannon Cook aka baby Cook aka Lil Cook aka C2!!! I love you so much!!! I'm proud to be your big Bro!!! Enjoy your day!!!… https://www.instagram.com/p/B_SNd6XFQHntu58D4MAFHRHu7TqHR26u3o25as0/?igshid=1nqi1ewb7tbmi
d_perez810,"Happy 35th Birthday to my first born, @edwinrivera . Love you, and I pray many blessings over your life! You make us proud!"
SParinjani,"Happy 35th birthday to @smuizzgh. May the year bring you joy, good health and long life."
durutti74,"Happy 35th birthday to ""808 Days""."
sarahlouise_44,Happy 35th Birthday 
BFC_ExPlayers,Happy 35th Birthday today to former Pool midfielder ... Simon Wiles @wilesy17 Hope you have a great day Simon ! 
BroadcastMoose,"Happy 35th Birthday ⁦@CAFCofficial⁩ midfielder Darren Pratley, have a great day my friend"
CafcFacts,"Happy 35th Birthday to current Charlton Athletic midfielder, Darren Pratley. #cafc "
boastinhim,"Happy 35th birthday to my beautiful bride, Rachelle. You are precious to me above all others."
LaurenGallaway,Happy 35th birthday Murder She Wrote! My birth year detective!!! 
FamousBirthdays,Happy 35th Birthday to @TheRachLindsay!
HEY_MEN_412,"Happy 35th birthday, big guy. Miss you. http://johnkraulandjr.org/"
donnasw7,Happy birthday @peterframpton . Sorry you've had to cancel gigs in UK but totally understand. So glad we got to see you in Manchester for your Frampton Comes Alive 35th Anniversary Tour. 3 hours of amazing music that we'll never forget. Stay safe and stay well. 
SuzanneGagnon,I don't believe it's already @joeldelafuente's 35th birthday! Wish you a happy one! 
GlobalGrind,"Happy Birthday, Babe! The Bachelorette’s Rachel Lindsay Is Too Gorgeous For Words [Photos] The Bachelorette‘s Rachel Lindsay is celebrating her 35th birthday today. https://bit.ly/3czIKLI"
jiyunaJP,"Today is my 35th Birthday! I have no wise words to share with you all; I'm just happy and enjoying life everyday. I never imagined I'd be where I am at right now, but I wouldn't have it any other way. Except maybe with more hair. This video is 12 years old; time flies! "
Aman_Magazine,Happy 35th Birthday #RachelLindsay 
MollyNaugher,I took the kids out for the first time in 39 days to sing Happy Birthday to @jtbernhardt! Your 35th birthday isn’t normally exciting but this feels like a new level. Happy Quaranbirthday! 
tapology,@ota421 happy 35th birthday! via @tapology
kevmikeberg,Today’s the day!! Happy 35th birthday to me. 
J3ssiGurl,"A short video of the famjam singing happy birthday to Jeff! Man, I miss vlogging :( ... Happy 35th Birthday To My Husband https://youtu.be/29BdmnhmTy8 via @YouTube"
watchshortiego,"Happy 35th birthday to my better half! . . . There’s no one I’d rather share my hand sanitizer and toilet paper with than you, baby. For social distancing purposes, I you to… https://www.instagram.com/p/B_PgShGgpPsCzssOPvEaricGLFoP-CFvYqtUPI0/?igshid=1cyupdbs0p6xj"
jen00636917,Today I join with others to wish my 2nd cousin Dan F. a very Happy Birthday on this the 35th Anniverary of his arrival in our lives. Might not be 35th but who keeps track HB Dan 
__qaseem,@Batari_jnr happy 35th birthday siniya. May Allah bless you and yours brother.
SMcAllister84,Happy 35th Birthday @ConductorRich. Be safe today taking all the key workers to and from work. Love from me and Bella x
Indyblazer1,"So today, 4/21, I am celebrating my 35th bday. Happy Birthday to me!!! "
kikuko_kamimura,I really want a stupid self-indulgent drawing for my 35th birthday but commissioning means talking to people who may not even do them at all and what's the point anyway it's stupid and probably wouldn't make me happy anyway
